observation_id,timestamp,src_ip,dst_ip,src_port,dst_port,txid,provenance,dataset_id,generator_version
OBS-e93a6d2b75347fe43e0458c6,2025-03-22T16:34:25Z,198.51.100.98,203.0.113.8,15749,15780,b85038db8d34756615a8c82752b931ded57f99c1911097b5d0e21f0c648e638b,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-3a9749823d6abf3af3c3897d,2025-03-22T16:34:24Z,172.16.2.66,198.51.100.199,34690,7589,b85038db8d34756615a8c82752b931ded57f99c1911097b5d0e21f0c648e638b,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-73c32103113264336e76f978,2025-03-22T19:57:56Z,192.168.162.79,172.16.103.178,51230,25824,b85038db8d34756615a8c82752b931ded57f99c1911097b5d0e21f0c648e638b,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-4ac60dd43875af43effd76ef,2025-03-22T20:23:12Z,203.0.113.19,203.0.113.159,11447,23228,b85038db8d34756615a8c82752b931ded57f99c1911097b5d0e21f0c648e638b,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-546b89b13070434837fff504,2025-01-07T23:29:07Z,192.0.2.70,203.0.113.28,62832,63867,9e752d5ae640e33b1ea420bb782e7b59617465516801b8d0599378e4694917d2,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-1095136fd44546f7f15befc3,2025-01-07T23:29:10Z,203.0.113.9,10.0.24.136,32303,23604,9e752d5ae640e33b1ea420bb782e7b59617465516801b8d0599378e4694917d2,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-a7323754cdc99102cf998a8b,2025-01-07T23:29:00Z,198.51.100.49,203.0.113.192,17274,9546,9e752d5ae640e33b1ea420bb782e7b59617465516801b8d0599378e4694917d2,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-74fa9bb5d6ca771dbf989162,2025-01-07T23:29:19Z,192.0.2.12,192.168.111.182,47545,45176,9e752d5ae640e33b1ea420bb782e7b59617465516801b8d0599378e4694917d2,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-d3cd3ac77d51b804b57f3f00,2025-01-07T23:15:53Z,10.0.161.109,172.16.205.78,36448,30753,46896eb1d020e3d251c5fd838a20fe092b4539ae2318a9a0cfa6f21fb1ee7259,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-bb596ce9fb7ddb1ff899b1d5,2025-01-07T23:15:39Z,198.51.100.124,192.168.175.11,23693,30880,46896eb1d020e3d251c5fd838a20fe092b4539ae2318a9a0cfa6f21fb1ee7259,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-8b362055c3564c0d481a8596,2025-01-07T23:16:09Z,192.168.11.43,198.51.100.3,15648,19241,46896eb1d020e3d251c5fd838a20fe092b4539ae2318a9a0cfa6f21fb1ee7259,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-52c9b6148988666346d1a973,2025-01-07T23:16:26Z,192.0.2.149,172.16.165.149,37461,50402,46896eb1d020e3d251c5fd838a20fe092b4539ae2318a9a0cfa6f21fb1ee7259,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-d932a304e6eeff2b4658ec66,2025-01-07T23:16:04Z,203.0.113.242,172.16.50.245,27535,24399,46896eb1d020e3d251c5fd838a20fe092b4539ae2318a9a0cfa6f21fb1ee7259,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-bec090916ce312bbec437d18,2025-01-07T23:15:37Z,203.0.113.88,198.51.100.156,47993,8386,46896eb1d020e3d251c5fd838a20fe092b4539ae2318a9a0cfa6f21fb1ee7259,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-3e0636d9c75875bc59ff6701,2025-01-07T23:15:18Z,192.0.2.174,10.0.31.92,10374,41858,ae58cd4f0cf11ba6c3ab017af570712efc8c85ff2f0e8db313450cebd8174998,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-a315a2262843cc01f4501208,2025-01-07T23:14:41Z,192.168.188.52,192.0.2.159,43585,55782,ae58cd4f0cf11ba6c3ab017af570712efc8c85ff2f0e8db313450cebd8174998,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-8c5bf5f665732d55dec5f5fd,2025-01-07T23:14:48Z,192.168.16.37,192.0.2.2,29548,18853,ae58cd4f0cf11ba6c3ab017af570712efc8c85ff2f0e8db313450cebd8174998,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-8f626525068b60d6a857d9f7,2025-01-07T23:14:47Z,198.51.100.177,192.168.173.161,13648,35345,ae58cd4f0cf11ba6c3ab017af570712efc8c85ff2f0e8db313450cebd8174998,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-f38244614f39e5cee05a1436,2025-01-07T23:15:24Z,192.0.2.72,203.0.113.250,5275,32687,ae58cd4f0cf11ba6c3ab017af570712efc8c85ff2f0e8db313450cebd8174998,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-0b69946c93354667c34a699f,2025-01-07T23:15:02Z,172.16.84.117,10.0.16.191,19645,36829,ae58cd4f0cf11ba6c3ab017af570712efc8c85ff2f0e8db313450cebd8174998,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-076e7bb2e69367b0dffb8e85,2025-01-07T23:15:01Z,203.0.113.103,203.0.113.141,58868,27440,ae58cd4f0cf11ba6c3ab017af570712efc8c85ff2f0e8db313450cebd8174998,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-a4d85000ca022c2eeece88fd,2025-01-07T23:14:38Z,198.51.100.169,192.0.2.237,29966,9701,f302db5c2e822241c2ae74bf3afa0c6ea3c97e0959c283d38a82645716969338,SYNTHETIC,6bc084b677a63411,1.0.0
OBS-397b4d608d03e822937ee2da,2025-01-07T23:14:55Z,192.168.88.96,10.0.21.144,18983,60790,f302db5c2e822241c2ae74bf3afa0c6ea3c97e0959c283d38a82645716969338,SYNTHETIC,6bc084b677a63411,1.0.0
